번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
344,021880,메이슨캐피탈,116409,기타 금융업,"99,184,408","49,592,204,000","500",원(KRW),02-2125-3200,전라북도 전주시 완산구 기린대로 213 대우빌딩 14층 12호 ,1324
345,140410,메지온,137001,자연과학 및 공학 연구개발업,"8,641,708","4,320,854,000","500",원(KRW),02-560-8000,서울특별시 강남구  테헤란로87길 35 씨엔드에치빌딩 3층,1324
346,241770,메카로,032004,기타 화학제품 제조업,"9,991,140","5,245,570,000","500",원(KRW),031-646-4400,경기도 평택시 산단로 103-14 ,1324
347,059210,메타바이오메드,032103,의료용품 및 기타 의약 관련제품 제조업,"23,862,351","11,931,175,500","500",원(KRW),043-218-1981,충청북도 청주시 흥덕구  오송읍 오송생명1로 270 ,1324
348,058110,멕아이씨에스,032701,의료용 기기 제조업,"5,361,500","2,680,750,000","500",원(KRW),070) 7119-2520,경기도 파주시 상지석길 21 ,1324
349,096640,멜파스,032602,전자부품 제조업,"21,257,151","10,628,575,500","500",원(KRW),031-707-2280,경기도 성남시 분당구 판교역로 225-14 ,1324
350,257370,명성티엔에스,032902,특수 목적용 기계 제조업,"6,370,000","3,185,000,000","500",원(KRW),053-582-3577,대구광역시 달서구 성서공단로25길 16 &nbsp,1324
351,149940,모다,032604,통신 및 방송 장비 제조업,"21,160,409","10,580,204,500","500",원(KRW),02-523-7677,서울특별시 강남구 테헤란로 501 브이플렉스 17층 ,1324
352,080420,모다이노칩,074704,"섬유, 의복, 신발 및 가죽제품 소매업","39,860,811","19,930,405,500","500",원(KRW),031-315-7250,경기도 안산시 단원구  동산로27번길 42-7 이노칩테크놀러지(주) ,1324
353,080160,모두투어,147502,여행사 및 기타 여행보조 서비스업,"18,900,000","9,450,000,000","500",원(KRW),02-728-8000,서울특별시 중구  을지로 16 프레지던트호텔 5층 모두투어네트워크,1324
354,100030,모바일리더,105802,소프트웨어 개발 및 공급업,"3,283,714","1,641,857,000","500",원(KRW),02-2051-4151,"서울특별시 강남구 강남대로 330(역삼동, 우덕빌딩 5층) ",1324
355,087260,모바일어플라이언스,105802,소프트웨어 개발 및 공급업,"15,000,000","7,500,000,000","500",원(KRW),031-421-8071,경기도 안양시 동안구 시민대로 401 ,1324
356,101330,모베이스,032604,통신 및 방송 장비 제조업,"23,958,188","11,979,094,000","500",원(KRW),032-529-4200,경기도 화성시 동탄첨단산업1로 73 (영천동) ,1324
357,250060,모비스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","32,171,314","3,217,131,400","100",원(KRW),02-3771-3423,경기도 성남시 분당구 판교로 253 이노밸리C동 2층 203호,1324
358,033200,모아텍,032602,전자부품 제조업,"14,331,185","7,665,592,500","500",원(KRW),032-810-9000,인천광역시 남동구  인주대로 698 (주)모아텍 ,1324
359,118990,모트렉스,033003,자동차 신품 부품 제조업,"27,250,545","2,725,054,500","100",원(KRW),070-4862-6100,경기도 성남시 분당구 황새울로258번길 25 서영빌딩 12층 ,1324
360,006920,모헨즈,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","10,920,000","5,460,000,000","500",원(KRW),02  -571 -3011,충남 충남시 풍세면 남관리 195 ,1324
361,001810,무림SP,031701,"펄프, 종이 및 판지 제조업","22,137,500","11,068,750,000","500",원(KRW),02  -3485-1603,서울특별시 강남구  강남대로 656 (신사동) ,1324
362,028040,미래SCI,032309,기타 비금속 광물제품 제조업,"30,812,358","15,406,179,000","500",원(KRW),043-710-0112,충북 청원군 옥산면 남촌리 1108-3 ,1324
363,095500,미래나노텍,032202,플라스틱제품 제조업,"23,289,533","11,644,766,500","500",원(KRW),043-710-1100,충청북도 청원군  옥산면 과학산업1로 16 미래나노텍(주),1324
364,218150,미래생명자원,031008,동물용 사료 및 조제식품 제조업,"18,671,428","1,867,142,800","100",원(KRW),02-2203-7397,"서울특별시 송파구 법원로9길 26 D동 506 ~ 512호(문정동, H business PARK)",1324
365,265480,미래에셋대우스팩1호,116601,금융 지원 서비스업,"4,840,000","484,000,000","100",원(KRW),02-3774-7171,서울특별시 중구 을지로5길 26 미래에셋센터원빌딩 동관 &nbsp,1324
366,310200,미래에셋대우스팩2호,116601,금융 지원 서비스업,"3,050,000","305,000,000","100",원(KRW),02-3774-7117,서울특별시 중구 을지로5길 26 미래에셋센터원 &nbsp,1324
367,239340,미래에셋제5호스팩,116601,금융 지원 서비스업,"4,800,000","480,000,000","100",원(KRW),02-3774-1736,"서울특별시 중구 을지로5길 26, 동관16층 (미래에셋센터원빌딩) &nbsp",1324
368,049950,미래컴퍼니,032902,특수 목적용 기계 제조업,"7,864,540","3,932,270,000","500",원(KRW),(031)350-9801,경기도 화성시  양감면 정문송산로 69-12 ,1324
369,213090,미래테크놀로지,105802,소프트웨어 개발 및 공급업,"6,120,788","3,060,394,000","500",원(KRW),070-8890-1537,서울특별시 구로구 디지털로26길 123 지플러스코오롱디지털타워 907호,1324
370,207760,미스터블루,106309,기타 정보 서비스업,"24,505,004","2,450,500,400","100",원(KRW),02-337-0610,"서울특별시 마포구 월드컵북로6길 18 (동교동, 미스터블루빌딩)",1324
371,059090,미코,032601,반도체 제조업,"31,316,603","15,658,301,500","500",원(KRW),031-670-5800,경기도 안성시 공단로 100 ,1324
372,201490,미투온,105802,소프트웨어 개발 및 공급업,"31,257,770","15,628,885,000","500",원(KRW),02-515-2864,"서울특별시 강남구 학동로31길 12 2층(논현동, 벤쳐캐슬빌딩) ",1324
373,214180,민앤지,106309,기타 정보 서비스업,"11,886,628","5,943,314,000","500",원(KRW),02-929-4463,서울특별시 강남구 테헤란로34길 6 태광타워 13층 ,1324
374,206640,바디텍메드,032103,의료용품 및 기타 의약 관련제품 제조업,"23,418,328","23,418,328,000","1,000",원(KRW),02-2004-4938,강원도 춘천시 동내면 거두단지1길 43 -,1324
375,018700,바른손,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","16,417,365","16,417,365,000","1,000",원(KRW),02  -596-4411,"경기도 성남시 분당구 판교로 253 201호(삼평동, 이노밸리A동) ",1324
376,035620,바른손이앤에이,105802,소프트웨어 개발 및 공급업,"70,367,278","35,183,639,000","500",원(KRW),070-7609-1404,서울특별시 강남구 봉은사로 509 수당빌딩 4층,1324
377,064520,바른전자,032601,반도체 제조업,"66,419,511","33,209,755,500","500",원(KRW),031-8020-6000,경기도 화성시  동탄면 경기동로 548 ,1324
378,029480,바른테크놀로지,032604,통신 및 방송 장비 제조업,"32,795,285","16,397,642,500","500",원(KRW),02  -3459-0620,"서울특별시 강남구 강남대로 262 18층(도곡동, 캠코양재타워) ",1324
379,053030,바이넥스,032102,의약품 제조업,"31,731,048","15,865,524,000","500",원(KRW),(051)261-6611,부산광역시 사하구 다대로 368-3 ,1324
380,084990,바이로메드,137001,자연과학 및 공학 연구개발업,"15,956,260","7,978,130,000","500",원(KRW),(02)873-8330,서울시 관악구 관악로 599번지 서울대학교 자연과학대학 기초과학연구동(203동) ,1324
381,064550,바이오니아,032103,의료용품 및 기타 의약 관련제품 제조업,"20,624,568","10,312,284,000","500",원(KRW),042-936-8500,대전광역시 대덕구  문평서로 8-11 (주)바이오니아 ,1324
382,208710,바이오로그디바이스,032602,전자부품 제조업,"27,565,606","2,756,560,600","100",원(KRW),031-831-3696,경기도 화성시 동탄면 동탄기흥로 64-10 3층,1324
383,142760,바이오리더스,137001,자연과학 및 공학 연구개발업,"15,960,310","7,980,155,000","500",원(KRW),042-934-7671,"경기도 용인시 수지구 신수로 767 7층 (동천동, 분당수지유타워 지식산업센터) ",1324
384,065940,바이오빌,032001,기초 화학물질 제조업,"43,987,186","21,993,593,000","500",원(KRW),(055)385-1500,경상남도 양산시 두전길 94 ,1324
385,086820,바이오솔루션,032101,기초 의약물질 및 생물학적 제제 제조업,"7,847,126","3,923,563,000","500",원(KRW),02-3446-8884,서울특별시 노원구 공릉로 232. 서울테크노파크 519호 &nbsp,1324
386,038460,바이오스마트,032602,전자부품 제조업,"19,978,940","9,989,470,000","500",원(KRW),02-3218-9000,서울특별시 성동구 광나루로 172- ,1324
387,044480,바이오제네틱스,032201,고무제품 제조업,"10,954,777","5,477,388,500","500",원(KRW),02-2203-3835,충청북도 증평군  증평읍 광장로 473-3 (주)유니더스,1324
388,086040,바이오톡스텍,137001,자연과학 및 공학 연구개발업,"14,564,623","7,282,311,500","500",원(KRW),043-210-7777,충청북도 청주시 청원구 오창읍 연구단지로 53 ,1324
389,032980,바이온,074603,음·식료품 및 담배 도매업,"46,607,494","23,303,747,000","500",원(KRW),02-516-0720,충청북도 청원군  북이면 신대석성로 144 ,1324
390,043150,바텍,032701,의료용 기기 제조업,"14,854,256","7,427,128,000","500",원(KRW),031-679-2000,경기도 화성시  삼성1로2길 13(석우동) ,1324
391,267790,배럴,031401,봉제의복 제조업,"7,761,300","3,880,650,000","500",원(KRW),02-335-3176,"서울특별시 강남구 논현로 709, 4층(논현동, 로얄빌딩) ",1324
392,046310,백금T&A,032604,통신 및 방송 장비 제조업,"15,212,256","7,606,128,000","500",원(KRW),031-488-7900,"경기도 군포시 엘에스로 153-18(산본동) L&C타워 4,5,6층 ",1324
393,036620,버추얼텍,074607,기타 전문 도매업,"39,456,342","19,728,171,000","500",원(KRW),02  -333 -3012,서울특별시 서초구 사평대로 68 서울시 서초구 사평대로68 에스타워 4층 ,1324
394,066410,버킷스튜디오,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","13,447,181","6,723,590,500","500",원(KRW),(02)3452-5079,서울특별시 강남구  논현로75길 10 영창빌딩 5층,1324
395,177350,베셀,032902,특수 목적용 기계 제조업,"11,192,368","5,596,184,000","500",원(KRW),031-683-3953,경기도 수원시 권선구 산업로155번길 281 -,1324
396,299910,베스파,105802,소프트웨어 개발 및 공급업,"7,986,521","3,993,260,500","500",원(KRW),02-6954-0889,"서울특별시 강남구 테헤란로83길 15, 제이엠빌딩 9층 &nbsp",1324
397,225530,보광산업,020702,기타 비금속광물 광업,"34,470,000","17,235,000,000","500",원(KRW),053-384-0881,대구광역시 북구 유통단지로3길 40 &nbsp,1324
398,250000,보라티알,074603,음·식료품 및 담배 도매업,"6,750,733","3,375,366,500","500",원(KRW),02-538-3373,"서울특별시 강남구 학동로 506, 4층 (삼성동, 보라빌딩) &nbsp",1324
399,014100,보령메디앙스,032004,기타 화학제품 제조업,"11,800,000","5,900,000,000","500",원(KRW),02  -708 -8365,서울특별시 종로구  창경궁로 136 보령빌딩 ,1324
400,006910,보성파워텍,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","45,854,719","22,927,359,500","500",원(KRW),031 -491 -0311,충청북도 충주시 주덕읍 대창길 70 -,1324
401,226340,본느,032004,기타 화학제품 제조업,"29,097,696","2,909,769,600","100",원(KRW),02-3787-2429,서울특별시 송파구 송파대로22길 5-15 -,1324
402,014470,부방,116409,기타 금융업,"47,293,490","23,646,745,000","500",원(KRW),02-2008-7272,서울특별시 강남구  삼성로 528 부방빌딩 ,1324
403,008470,부스타,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","8,404,800","4,202,400,000","500",원(KRW),043-536-9107,충청북도 진천군  이월면 고등2길 18 (주)부스타보일러 ,1324
404,100120,뷰웍스,032701,의료용 기기 제조업,"10,001,865","5,000,932,500","500",원(KRW),070-7011-6190,경기도 안양시 동안구 부림로 17041-3 ,1324
405,066980,브레인콘텐츠,106309,기타 정보 서비스업,"158,418,281","79,209,140,500","500",원(KRW),02-2017-7933,서울특별시 강남구 테헤란로 325 어반벤치빌딩 12층,1324
406,064480,브리지텍,105802,소프트웨어 개발 및 공급업,"11,952,500","6,176,250,000","500",원(KRW),02-3430-4114,"서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워 17,18층 ",1324
407,251630,브이원텍,032902,특수 목적용 기계 제조업,"7,516,090","3,758,045,000","500",원(KRW),031-607-5540,"경기도 성남시 분당구 대왕판교로 660, A-710 (삼평동, 유스페이스1) &nbsp",1324
408,033560,블루콤,032605,영상 및 음향기기 제조업,"18,088,047","9,600,000,000","500",원(KRW),032-810-0500,인천광역시 연수구  벤처로 116 (주)블루콤 ,1324
409,121800,비덴트,032604,통신 및 방송 장비 제조업,"27,873,523","13,936,761,500","500",원(KRW),070-8668-6611,"서울특별시 금천구  가산디지털1로 84 (가산동, 에이스하이엔드 8차 12층)",1324
410,148140,비디아이,032901,일반 목적용 기계 제조업,"7,920,750","3,960,375,000","500",원(KRW),02-2082-8890,경기도 화성시 팔탄면 서해로 1155 &nbsp,1324
411,200780,비씨월드제약,032102,의약품 제조업,"8,008,318","1,601,663,600","200",원(KRW),031-881-6800,경기도 여주시 가남읍 여주남로 872-23 ,1324
412,141000,비아트론,032902,특수 목적용 기계 제조업,"12,114,710","6,057,355,000","500",원(KRW),070-4016-3200,경기도 수원시 권선구 산업로155번길 139 (고색동),1324
413,090460,비에이치,032602,전자부품 제조업,"31,379,776","15,689,888,000","500",원(KRW),032-510-2000,인천광역시 부평구  평천로199번길 25 ,1324
414,083650,비에이치아이,032901,일반 목적용 기계 제조업,"26,000,000","13,000,000,000","500",원(KRW),055-585-3800,경상남도 함안군  군북면 장백로 122 ,1324
415,086670,비엠티,032901,일반 목적용 기계 제조업,"8,146,529","4,073,264,500","500",원(KRW),055-783-1000,경상남도 양산시  산막공단남11길 35 (주)BMT ,1324
416,138580,비즈니스온,105802,소프트웨어 개발 및 공급업,"9,544,940","4,772,470,000","500",원(KRW),02-559-0800,서울특별시 성동구 광나루로 172 3층 ,1324
417,082920,비츠로셀,032802,일차전지 및 축전지 제조업,"19,590,431","9,795,215,500","500",원(KRW),041-330-0236,충청남도 당진시 합덕읍 인더스파크로 70 - ,1324
418,054220,비츠로시스,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","48,288,404","24,144,202,000","500",원(KRW),(02)460-2000,서울특별시 성동구  성덕정길 151 (주)비츠로시스 ,1324
419,042370,비츠로테크,116409,기타 금융업,"22,353,873","11,176,936,500","500",원(KRW),02  -4602-021,경기도 안산시 단원구  별망로 327 비츠로테크,1324
420,032850,비트컴퓨터,105802,소프트웨어 개발 및 공급업,"16,623,293","8,311,646,500","500",원(KRW),02  -3486-1234,서울특별시 서초구 서초대로74길 33 ,1324
421,238200,비피도,031007,기타 식품 제조업,"4,090,000","2,045,000,000","500",원(KRW),033-435-4962,강원도 홍천군 홍천읍 농공단지길 23-16 ,1324
422,093190,빅솔론,032603,컴퓨터 및 주변장치 제조업,"19,238,905","9,619,452,500","500",원(KRW),031-218-5500,"경기도 성남시 분당구  판교역로241번길 20 삼평동, 미래에셋벤처타워 7층,8층",1324
423,065450,빅텍,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","24,500,000","4,900,000,000","200",원(KRW),(031)631-7301,경기도 이천시  마장면 덕이로 180-31 ,1324
424,072950,빛샘전자,032602,전자부품 제조업,"6,000,000","3,000,000,000","500",원(KRW),031-288 -3420,경기도 용인시 기흥구  언동로 53-11 빛샘전자 (청덕동),1324
425,143240,사람인에이치알,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","11,634,263","5,817,131,500","500",원(KRW),02-2025-4733,서울특별시 구로구  디지털로34길 43 코오롱싸이언스밸리1차 201호,1324
426,100090,삼강엠앤티,032401,1차 철강 제조업,"26,425,409","13,212,704,500","500",원(KRW),055-391-7020,경상남도 고성군 동해면 내산리 159-13 ,1324
427,122350,삼기오토모티브,033003,자동차 신품 부품 제조업,"30,827,256","3,082,725,600","100",원(KRW),031-680-0826,경기도 평택시 포승읍 도곡리 1217 ,1324
428,014970,삼륭물산,031702,"골판지, 종이 상자 및 종이용기 제조업","15,125,000","7,562,500,000","500",원(KRW),032-321-0091,경기도 파주시 월롱면 통일로644번길 35 ,1324
429,018310,삼목에스폼,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","14,700,000","7,350,000,000","500",원(KRW),02  -561 -0941,경기도 안성시  미양면 안성맞춤대로 474-40 ,1324
430,053700,삼보모터스,033003,자동차 신품 부품 제조업,"14,907,203","7,453,601,500","500",원(KRW),053-582-9230,대구광역시 달서구  성서동로 142 ,1324
431,009620,삼보산업,032402,1차 비철금속 제조업,"4,125,000","2,062,500,000","500",원(KRW),055 -552-7130 -,경상남도 창원시 진해구  남의로21번길 36 ,1324
432,023600,삼보판지,031701,"펄프, 종이 및 판지 제조업","14,700,000","7,350,000,000","500",원(KRW),031-319-6523,경기도 시흥시 공단1대로28번길 120 (정왕동) ,1324
433,111870,삼본정밀전자,032605,영상 및 음향기기 제조업,"51,372,000","25,686,000,000","500",원(KRW),032-683-7300,경기도 부천시 오정구  삼작로107번길 52 ,1324
434,309930,삼성머스트스팩3호,116601,금융 지원 서비스업,"4,590,000","459,000,000","100",원(KRW),02-2020-7637,서울특별시 서초구 서초대로74길 11 ,1324
435,291230,삼성스팩2호,116601,금융 지원 서비스업,"7,550,000","755,000,000","100",원(KRW),02-2020-7562,서울특별시 서초구 서초대로74길 11 ,1324
436,009300,삼아제약,032102,의약품 제조업,"6,370,000","6,370,000,000","1,000",원(KRW),02-2056-7200,강원도 원주시 문막읍 동화공단로 49 ,1324
437,225190,삼양옵틱스,032703,사진장비 및 광학기기 제조업,"10,038,600","5,019,300,000","500",원(KRW),055-250-5600,경상남도 창원시 마산회원구 자유무역6길 123 ,1324
438,054540,삼영엠텍,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","13,000,000","6,772,413,500","500",원(KRW),(055)589-7000,경상남도 함안군 칠서면 삼칠로 631-35 ,1324
439,065570,삼영이엔씨,032604,통신 및 방송 장비 제조업,"8,800,000","4,400,000,000","500",원(KRW),(051)601-6666,부산광역시 영도구  상리로 69 ,1324
440,082660,삼우엠스,032604,통신 및 방송 장비 제조업,"42,097,104","21,048,552,000","500",원(KRW),031-622-7520,대구광역시 달서구 성서공단북로 77-20 크루셜엠스(주),1324
441,073640,삼원테크,032509,기타 금속 가공제품 제조업,"52,181,840","5,218,184,000","100",원(KRW),055-213-7000,경남 창원시 성주동 30-5번지 ,1324
442,032280,삼일,084903,도로 화물 운송업,"16,213,590","16,213,590,000","1,000",원(KRW),054 -289 -1061,경상북도 포항시 남구 대송면 송덕로 125-15(옥명리) ,1324
443,002290,삼일기업공사,064101,건물 건설업,"12,400,000","6,200,000,000","500",원(KRW),02  -564 -3131,서울특별시 강남구  언주로 329 ,1324
444,037460,삼지전자,032604,통신 및 방송 장비 제조업,"16,318,522","8,309,261,000","500",원(KRW),02-850-8031,경기도 화성시 금곡로 63-27 삼지전자,1324
445,032750,삼진,032604,통신 및 방송 장비 제조업,"6,000,000","3,000,000,000","500",원(KRW),031 -467 -5847,경기도 안양시 만안구  안양천서로 81 (주)삼진 ,1324
446,054090,삼진엘앤디,033309,그외 기타 제품 제조업,"24,959,232","12,479,616,000","500",원(KRW),031-379-2000,경기도 화성시 동탄면 동탄기흥로 64-17 ,1324
447,000250,삼천당제약,032102,의약품 제조업,"22,105,813","11,052,906,500","500",원(KRW),02-2046-1235,경기도 화성시 향남읍 제약공단2길 71 ,1324
448,024950,삼천리자전거,074604,생활용품 도매업,"13,273,577","6,636,788,500","500",원(KRW),02  -2194-3021,서울특별시 강남구 테헤란로 445 (삼성동) ,1324
449,038500,삼표시멘트,032309,기타 비금속 광물제품 제조업,"107,357,173","53,678,586,500","500",원(KRW),02-3770-3000,강원도 삼척시  동양길 20 ,1324
450,017480,삼현철강,032401,1차 철강 제조업,"15,702,890","8,551,445,000","500",원(KRW),055 -252 -6060,경상남도 창원시 의창구 평산로70번길 36 -,1324
451,046390,삼화네트웍스,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","42,967,933","8,593,586,600","200",원(KRW),02-3454-1500,서울특별시 강남구 선릉로91길 8 신아트스페이스빌딩 5층,1324
452,027580,상보,032602,전자부품 제조업,"28,339,847","14,169,923,500","500",원(KRW),031-987-9900,경기도 김포시 통진읍 대서명로 50 ,1324
453,038540,상상인,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","47,748,397","47,748,397,000","1,000",원(KRW),02-2167-8500,서울특별시 금천구  가산디지털2로 123 월드메르디앙2차 ,1324
454,091580,상신이디피,032802,일차전지 및 축전지 제조업,"12,665,050","6,332,525,000","500",원(KRW),031-205-9242,경기도 수원시 영통구  덕영대로1483번길 36 ,1324
455,263810,상신전자,032602,전자부품 제조업,"8,117,336","4,058,668,000","500",원(KRW),055-343-3826,경상남도 김해시 진영읍 본산로269번길 16-34 &nbsp,1324
456,089980,상아프론테크,032202,플라스틱제품 제조업,"14,263,536","7,131,768,000","500",원(KRW),032-451-7700,인천광역시 남동구  남동대로369번길 18 ,1324
457,042940,상지카일룸,064203,전기 및 통신 공사업,"36,840,456","18,420,228,000","500",원(KRW),02-517-5174,"서울특별시 강남구 도산대로 458 3층 (청담동, 리츠타워)",1324
458,042600,새로닉스,032602,전자부품 제조업,"12,423,574","6,211,787,000","500",원(KRW),054-463-7945,경상북도 구미시  수출대로9길 36 (주)새로닉스 ,1324
459,263540,샘코,033103,"항공기,우주선 및 부품 제조업","7,936,681","3,968,340,500","500",원(KRW),055-850-7700,경상남도 사천시 사남면 해안산업로 381 ,1324
460,038070,서린바이오,074607,기타 전문 도매업,"6,900,516","3,450,258,000","500",원(KRW),031-628-3000,경기도 성남시 분당구 삼평동 694-1 코리아바이오파크(KOREA BIO PARK) A동 4층 ,1324
461,006730,서부T&D,074608,상품 종합 도매업,"51,871,207","25,935,603,500","500",원(KRW),02  -2689 -0035,서울특별시 양천구  신정로 167 ,1324
462,079650,서산,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","20,000,000","2,000,000,000","100",원(KRW),(062)950-5000,광주광역시 광산구  하남산단4번로 143 ,1324
463,100660,서암기계공업,032901,일반 목적용 기계 제조업,"12,600,000","6,300,000,000","500",원(KRW),062-960-5000,광주광역시 광산구  하남산단8번로 127-15 (안청동),1324
464,012860,서연전자,033003,자동차 신품 부품 제조업,"27,000,000","13,500,000,000","500",원(KRW),031-5174-3000,경기도 수원시 권선구 산업로156번길 100 (고색동) ,1324
465,019770,서연탑메탈,032902,특수 목적용 기계 제조업,"11,650,000","5,825,000,000","500",원(KRW),032-820-3216,"인천광역시 남동구  청능대로410번길 40 고잔동,남동공단",1324
466,043710,서울리거,137103,광고업,"25,115,308","12,557,654,000","500",원(KRW),02-2138-5281,"서울특별시 강남구 봉은사로2길 21 반석빌딩 5층(역삼동,반석빌딩) ",1324
467,046890,서울반도체,032601,반도체 제조업,"58,305,400","29,152,700,000","500",원(KRW),02-1566-2771,경기도 안산시 단원구 산단로 163번길 97-11 ,1324
468,063170,서울옥션,074601,상품 중개업,"16,917,500","8,458,750,000","500",원(KRW),02-395-0330~4,서울 종로구 평창동 98 ,1324
469,027040,서울전자통신,033309,그외 기타 제품 제조업,"64,764,286","32,382,143,000","500",원(KRW),032-723-4111,인천광역시 부평구 새벌로 4사무동 4층 ,1324
470,018680,서울제약,032102,의약품 제조업,"8,485,499","4,242,749,500","500",원(KRW),02-3470-2300,충청북도 청주시 흥덕구 오송읍 오송생명6로 124-31 서울제약 오송공장,1324
471,093920,서원인텍,032604,통신 및 방송 장비 제조업,"18,600,000","9,300,000,000","500",원(KRW),031-428-9500,경기도 군포시 공단로140번길 32-15 -,1324
472,189860,서전기전,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","9,698,780","4,849,390,000","500",원(KRW),031-426-5506,경기도 이천시 대월면 대월로 667번길 38-19 (주)서전기전 (이천대월 일반산업단지 내),1324
473,178320,서진시스템,032604,통신 및 방송 장비 제조업,"18,100,666","9,050,333,000","500",원(KRW),032-506-2760,경기도 부천시 오정구 산업로 20-22 &nbsp,1324
474,122690,서진오토모티브,033003,자동차 신품 부품 제조업,"19,541,246","9,770,623,000","500",원(KRW),031-496-1500,경기도 시흥시 공단1대로 313 ,1324
475,140070,서플러스글로벌,074605,기계장비 및 관련 물품 도매업,"36,988,000","3,698,800,000","100",원(KRW),031-615-6800,경기도 오산시 경기대로 78-26 ,1324
476,011370,서한,064101,건물 건설업,"100,894,865","50,447,432,500","500",원(KRW),053 -741 -9980,대구광역시 수성구 명덕로 415 서한빌딩,1324
477,065710,서호전기,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","5,150,000","2,575,000,000","500",원(KRW),(031)463-6612,경기도 안양시 동안구  귀인로 9 ,1324
478,035890,서희건설,064101,건물 건설업,"173,467,745","86,733,872,500","500",원(KRW),02  -3416-6644,"경기도 성남시 분당구  수내로46번길 4 경동빌딩 (수내동,경동빌딩8층)",1324
479,003100,선광,085209,기타 운송관련 서비스업,"6,600,000","6,600,000,000","1,000",원(KRW),032 -8806-562,인천 중구 항동 34-2 ,1324
480,123420,선데이토즈,105802,소프트웨어 개발 및 공급업,"9,569,842","4,784,921,000","500",원(KRW),031-1833-9782,"경기도 성남시 분당구 황새울로360번길 42 9층, 14층",1324
481,171090,선익시스템,032902,특수 목적용 기계 제조업,"8,999,295","4,499,647,500","500",원(KRW),02-8012-1600,경기도 수원시 권선구 산업로155번길 293(고색동) ,1324
482,014620,성광벤드,032401,1차 철강 제조업,"28,600,000","14,300,000,000","500",원(KRW),051-3300-200,부산광역시 강서구  녹산산단262로 26 ,1324
483,037350,성도이엔지,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","15,470,000","7,735,000,000","500",원(KRW),02  -6244-5200,서울특별시 강남구 영동대로106길 42 ,1324
484,081580,성우전자,032604,통신 및 방송 장비 제조업,"15,508,143","7,754,071,500","500",원(KRW),031-362-3100,"경기도 안산시 단원구 번영로 68 (성곡동, 시화공단 4마 606호)",1324
485,045300,성우테크론,032602,전자부품 제조업,"9,054,055","4,527,027,500","500",원(KRW),055-279-8400,경남 창원시 성산구 성주동 24-6 ,1324
486,015750,성우하이텍,033003,자동차 신품 부품 제조업,"80,000,000","40,000,000,000","500",원(KRW),070-7477-5450,부산광역시 기장군  정관면 농공길 2-9 (주)성우하이텍 ,1324
487,080470,성창오토텍,033003,자동차 신품 부품 제조업,"7,300,000","3,650,000,000","500",원(KRW),031-650-5400,경기도 안성시  원곡면 청원로 1785-14 ,1324
488,043260,성호전자,032602,전자부품 제조업,"30,912,611","15,456,305,500","500",원(KRW),(02)855-5931,서울특별시 금천구  가산디지털1로 205-17 ,1324
489,053060,세동,033003,자동차 신품 부품 제조업,"21,411,000","10,705,500,000","500",원(KRW),051-796-7161,부산광역시 기장군  장안읍 장안산단 8로 8 ,1324
490,017510,세명전기,032509,기타 금속 가공제품 제조업,"15,246,000","7,623,000,000","500",원(KRW),051 -316 -6887,부산광역시 사상구 대동로 188 ,1324
491,214310,세미콘라이트,032601,반도체 제조업,"65,340,682","6,534,068,200","100",원(KRW),031-282-6425,경기도 용인시 기흥구 원고매로2번길 49(고매동) ,1324
492,011560,세보엠이씨,064202,건물설비 설치 공사업,"10,530,000","5,265,000,000","500",원(KRW),02 - 2046 - 7922,서울특별시 서초구  효령로 341 ,1324
493,100700,세운메디칼,032103,의료용품 및 기타 의약 관련제품 제조업,"43,800,000","4,380,000,000","100",원(KRW),041-584-2903,충청남도 천안시 서북구  입장면 도림길 60 (주)세운메디칼 ,1324
494,234100,세원,033003,자동차 신품 부품 제조업,"22,382,985","2,238,298,500","100",원(KRW),031-615-6710,경기도 평택시 산단로64번길 56 &nbsp,1324
495,024830,세원물산,033003,자동차 신품 부품 제조업,"8,350,000","4,175,000,000","500",원(KRW),053 -582 -5161,경상북도 영천시 도남공단길 53 ,1324
496,258830,세종메디칼,032701,의료용 기기 제조업,"6,777,741","3,388,870,500","500",원(KRW),031-945-8191,경기도 파주시 신촌2로 11 ,1324
